Name	RA_hr	RA_min	RA_s	DEC_deg	DEC_arcmin	DEC_arcsec	FieldA	DistFA	FieldV	DistFV	Class	Flux	eFlux	PFlux	RMS	Rmaj	Rmin	PA	norm_name	e_bmaj(arcsec)	e_bmin(arcsec)	e_pa(deg)
HOPS-294	5	40	51.733	-2	26	49.02	HOPS-294	0.5	NAN	NAN	Flat	2.79	0.489	2.047	0.22	0.11	0.01	6.3	HOPS294	0.031	0.056	25.1
HOPS-107	5	35	23.353	-4	40	10.29	HOPS-107	0.2	NAN	NAN	Flat	37.855	0.765	26.496	0.33	0.08	0.05	120.5	HOPS107	0.003	0.004	4.0
HOPS-105	5	35	32.299	-4	46	48.44	HOPS-105	0.2	NAN	NAN	Flat	3.721	0.843	2.038	0.29	0.14	0.1	27.1	HOPS105	0.051	0.069	80.8
HOPS-102	5	34	35.168	-4	52	17.96	HOPS-102	0.2	NAN	NAN	I	36.59	1.481	5.271	0.25	0.47	0.1	108.9	HOPS102	0.021	0.006	0.8
HOPS-99	5	34	29.468	-4	55	30.25	HOPS-99	0.6	HOPS-99	0.6	0	13.044	0.646	8.38	0.24	0.1	0.07	27.3	HOPS99	0.008	0.008	16.8
HOPS-96	5	35	29.718	-4	58	48.6	HOPS-96	0.2	HOPS-96	0.2	0	208.898	3.595	90.565	1.05	0.12	0.11	134.6	HOPS96	0.003	0.003	7.1
HOPS-383	5	35	29.785	-4	59	50.41	HOPS-383	0.8	HOPS-383	0.8	0	158.833	3.117	54.88	0.78	0.18	0.12	49.7	HOPS383	0.004	0.003	2.2
HOPS-95	5	35	34.205	-4	59	52.41	HOPS-95	0.2	HOPS-95	0.2	0	16.139	0.655	9.839	0.24	0.11	0.06	36.2	HOPS95	0.006	0.006	4.5
HOPS-93	5	35	15.048	-5	0	8.05	HOPS-93	0.3	HOPS-94	17.5	I	46.99	1.292	12.557	0.29	0.3	0.07	121.8	HOPS93	0.009	0.004	0.7
HOPS-92-A-A	5	35	18.337	-5	0	32.94	HOPS-92	0.3	HOPS-91	19.9	Flat	129.217	3.27	60.778	1.0	0.11	0.1	140.8	HOPS92AA	0.004	0.004	17.8
HOPS-92-A-B	5	35	18.328	-5	0	33.18	HOPS-92	0.3	HOPS-91	19.7	Flat	4.364	1.003	3.543	1.0	0.0	0.0	0.0	HOPS92AB	0.000	0.000	0.0
HOPS-92-B	5	35	18.27	-5	0	33.92	HOPS-92	1.2	HOPS-91	19.5	Flat	171.825	4.212	57.532	1.01	0.17	0.12	174.1	HOPS92B	0.005	0.004	3.1
HOPS-91	5	35	18.925	-5	0	51.11	HOPS-91	0.3	HOPS-91	0.3	0	31.583	1.566	6.517	0.24	0.26	0.2	54.4	HOPS91	0.013	0.011	8.2
HOPS-90	5	35	34.492	-5	0	52.34	HOPS-90	0.4	NAN	NAN	Flat	3.933	0.766	1.794	0.21	0.19	0.11	110.4	HOPS90	0.044	0.036	15.8
HOPS-89	5	35	19.975	-5	1	2.56	HOPS-89	0.3	HOPS-91	19.7	Flat	22.901	0.709	13.317	0.26	0.12	0.05	82.4	HOPS89	0.005	0.005	2.3
HOPS-88	5	35	22.471	-5	1	14.31	HOPS-88	0.6	HOPS-87-88	11.7	0	141.984	2.46	79.732	0.83	0.1	0.09	166.9	HOPS88	0.003	0.003	11.5
HOPS-87	5	35	23.42	-5	1	30.54	HOPS-87	2.0	HOPS-87-88	10.1	0	1587.4	33.473	134.583	3.45	0.36	0.35	11.1	HOPS87	0.008	0.008	30.4
HOPS-86-A	5	35	23.654	-5	1	40.26	HOPS-86	0.1	HOPS-87-88	19.7	I	25.94	3.302	8.481	0.75	0.17	0.15	0.5	HOPS86A	0.025	0.025	54.7
HOPS-86-B	5	35	23.733	-5	1	48.13	HOPS-86	8.0	HOPS-87-88	27.0	I	59.351	2.643	25.235	1.31	0.13	0.12	7.2	HOPS86B	0.009	0.009	56.1
HOPS-85-A	5	35	28.189	-5	3	41.2	HOPS-85	0.3	HOPS-84	27.9	Flat	29.763	1.143	19.683	0.45	0.05	0.04	123.9	HOPS85A	0.005	0.006	18.2
HOPS-85-B	5	35	28.193	-5	3	41.29	HOPS-85	0.4	HOPS-84	27.9	Flat	20.897	0.846	18.453	0.45	0.03	0.01	66.0	HOPS85B	0.006	0.010	28.1
HOPS-84-A	5	35	26.56	-5	3	55.12	HOPS-84	0.1	HOPS-84	0.1	I	436.196	8.167	104.767	1.6	0.26	0.12	167.5	HOPS84A	0.005	0.003	1.0
HOPS-84-B	5	35	26.537	-5	3	55.73	HOPS-84	0.8	HOPS-84	0.8	I	25.088	3.685	18.012	1.61	0.09	0.03	166.2	HOPS84B	0.024	0.025	15.8
HOPS-82	5	35	19.74	-5	4	54.5	HOPS-82	0.2	NAN	NAN	Flat	6.159	0.486	4.961	0.23	0.06	0.04	90.9	HOPS82	0.013	0.021	22.9
HOPS-81	5	35	28.019	-5	4	57.35	HOPS-81	1.3	HOPS-81	1.3	0	64.334	1.148	39.902	0.44	0.1	0.06	122.0	HOPS81	0.003	0.003	2.9
HOPS-80	5	35	25.183	-5	5	9.37	HOPS-80	0.1	HOPS-78	35.6	Flat	14.856	1.216	2.897	0.21	0.27	0.21	155.3	HOPS80	0.024	0.020	17.1
HOPS-78-A	5	35	25.966	-5	5	43.33	HOPS-78	2.1	HOPS-78	2.2	0	322.435	3.44	45.686	0.55	0.44	0.14	171.1	HOPS78A	0.005	0.002	0.3
HOPS-78-B	5	35	26.148	-5	5	45.8	HOPS-78	5.3	HOPS-78	5.3	0	8.534	1.116	6.772	0.67	0.05	0.05	179.4	HOPS78B	0.023	0.024	90.2
HOPS-77-B	5	35	31.47	-5	5	46.1	HOPS-77	1.5	NAN	NAN	Flat	1.419	0.244	1.444	0.24	0.0	0.0	0.0	HOPS77B	0.000	0.000	0.0
HOPS-78-C	5	35	26.181	-5	5	47.12	HOPS-78	6.4	HOPS-78	6.4	0	9.34	1.804	4.486	0.75	0.17	0.08	131.9	HOPS78C	0.039	0.034	12.7
HOPS-77-A-A	5	35	31.539	-5	5	47.33	HOPS-77	0.1	NAN	NAN	Flat	6.38	0.244	5.9	0.24	0.0	0.0	0.0	HOPS77AA	0.000	0.000	0.0
HOPS-77-A-B	5	35	31.545	-5	5	47.4	HOPS-77	0.2	NAN	NAN	Flat	5.299	0.244	5.325	0.24	0.0	0.0	0.0	HOPS77AB	0.000	0.000	0.0
HOPS-78-D	5	35	25.92	-5	5	47.7	HOPS-78	4.3	HOPS-78	4.3	0	6.566	1.484	3.343	0.62	0.15	0.03	175.4	HOPS78D	0.045	0.034	10.5
HOPS-76	5	35	25.763	-5	5	58.13	HOPS-76	0.3	HOPS-78	14.5	I	13.142	0.475	10.96	0.23	0.05	0.04	57.6	HOPS76	0.008	0.010	37.8
HOPS-75-A	5	35	26.68	-5	6	10.51	HOPS-75	0.4	HOPS-75	0.4	0	16.067	0.522	13.312	0.25	0.06	0.04	156.1	HOPS75A	0.006	0.008	20.6
HOPS-75-B	5	35	26.678	-5	6	10.76	HOPS-75	0.6	HOPS-75	0.6	0	1.92	0.273	1.363	0.25	0.0	0.0	0.0	HOPS75B	0.000	0.000	0.0
HOPS-74	5	35	24.874	-5	6	21.58	HOPS-74	0.3	HOPS-75	28.9	Flat	42.054	0.953	21.982	0.32	0.12	0.08	126.7	HOPS74	0.004	0.003	3.6
HOPS-73	5	35	27.699	-5	7	4.32	HOPS-73	0.8	HOPS-73	0.8	0	10.403	1.138	3.555	0.23	0.19	0.16	60.9	HOPS73	0.023	0.020	27.5
HOPS-72	5	35	25.724	-5	7	46.24	HOPS-71	11.2	HOPS-394	27.8	NAN	16.71	0.843	10.064	1.01	0.11	0.06	101.5	HOPS72	0.008	0.009	5.5
HOPS-394-A	5	35	24.046	-5	7	52.11	HOPS-394	2.2	HOPS-394	2.3	0	21.517	1.377	7.073	0.3	0.25	0.13	80.7	HOPS394A	0.017	0.010	4.0
HOPS-394-B	5	35	24.867	-5	7	54.64	HOPS-71	11.4	HOPS-394	14.1	0	9.878	0.315	7.997	1.05	0.0	0.0	0.0	HOPS394B	0.000	0.000	0.0
HOPS-71-B	5	35	25.541	-5	7	56.84	HOPS-71	1.1	HOPS-394	24.4	I	5.455	1.588	1.373	0.32	0.29	0.12	82.4	HOPS71B	0.092	0.053	12.8
HOPS-71-A	5	35	25.582	-5	7	57.64	HOPS-71	0.5	HOPS-394	25.1	I	130.081	1.115	52.674	0.31	0.19	0.07	123.0	HOPS71A	0.002	0.001	0.4
HOPS-70-B-B	5	35	22.57	-5	8	0.32	HOPS-70	5.1	HOPS-394	21.4	Flat	7.887	0.533	6.426	0.32	0.07	0.03	51.2	HOPS70BB	0.012	0.026	17.1
HOPS-70-C	5	35	21.938	-5	8	4.58	HOPS-70	7.1	HOPS-394	31.7	Flat	8.631	0.836	3.766	0.4	0.17	0.07	78.3	HOPS70C	0.019	0.016	5.4
HOPS-70-A-B	5	35	22.426	-5	8	5.03	HOPS-70	0.3	HOPS-394	25.2	Flat	3.369	0.541	2.725	0.26	0.0	0.0	0.0	HOPS70AB	0.105	0.040	0.0
HOPS-70-A-A	5	35	22.406	-5	8	5.14	HOPS-70	0.4	HOPS-394	25.5	Flat	35.891	0.537	28.446	0.26	0.05	0.05	13.4	HOPS70AA	0.003	0.004	87.8
HOPS-68	5	35	24.299	-5	8	30.74	HOPS-68	0.2	HOPS-68	0.0	I	88.22	1.594	52.05	0.55	0.1	0.09	3.6	HOPS68	0.003	0.003	18.0
HOPS-66-B	5	35	26.927	-5	9	22.43	HOPS-66	2.5	HOPS-370	15.2	Flat	34.617	1.104	12.565	0.29	0.17	0.12	165.8	HOPS66B	0.006	0.005	3.8
HOPS-66-A	5	35	26.857	-5	9	24.4	HOPS-66	0.3	HOPS-370	14.7	Flat	43.306	0.566	35.971	0.28	0.05	0.04	47.0	HOPS66A	0.003	0.003	29.3
HOPS-370	5	35	27.634	-5	9	34.42	HOPS-370	1.0	HOPS-370	1.0	I	533.285	10.049	109.886	1.99	0.34	0.11	109.7	HOPS370	0.007	0.003	0.6
HOPS-65	5	35	21.576	-5	9	38.85	HOPS-65	0.4	NAN	NAN	I	83.909	3.199	4.257	0.28	0.99	0.28	171.4	HOPS65	0.000	0.000	1.0
2MJ05352746-0509441	5	35	27.472	-5	9	44.14	HOPS-370	10.9	HOPS-370	10.9	II	9.073	1.791	6.366	2.33	0.0	0.0	0.0	2MJ053527460509441			
HOPS-64	5	35	26.998	-5	9	54.08	HOPS-108	6.4	HOPS-108	6.4	I	33.467	0.759	20.373	0.41	0.1	0.07	119.3	HOPS64	0.004	0.004	6.4
HOPS-108	5	35	27.086	-5	10	0.06	HOPS-108	0.4	HOPS-108	0.4	0	62.631	0.982	27.671	0.29	0.12	0.12	105.7	HOPS108	0.003	0.004	31.9
VLA16	5	35	26.824	-5	10	5.62	HOPS-108	6.4	HOPS-108	6.4	NAN	6.664	0.81	4.239	0.41	0.1	0.08	164.8	VLA16	0.019	0.022	47.3
VLA15	5	35	26.41	-5	10	5.94	HOPS-108	11.4	HOPS-108	11.4	NAN	122.941	1.649	20.485	0.96	0.41	0.11	87.3	VLA15	0.006	0.002	0.3
OMC2-FIR4-ALMA1	5	35	26.785	-5	10	8.83	HOPS-369	8.8	HOPS-108	9.5	NAN	5.574	0.728	3.301	0.53	0.14	0.04	110.5	OMC2FIR4ALMA1	0.026	0.022	9.2
HOPS-369	5	35	26.969	-5	10	17.27	HOPS-369	0.1	HOPS-108	17.0	Flat	26.113	0.532	22.398	0.27	0.05	0.04	21.3	HOPS369	0.006	0.009	41.1
HOPS-368	5	35	24.725	-5	10	30.08	HOPS-368	0.1	HOPS-108	46.0	I	135.908	2.615	60.96	0.76	0.19	0.08	105.2	HOPS368	0.004	0.003	1.1
HOPS-60	5	35	23.287	-5	12	3.41	HOPS-60	0.7	HOPS-60	0.7	0	336.125	5.985	112.762	1.45	0.19	0.11	159.0	HOPS60	0.004	0.003	1.5
HOPS-59-B	5	35	20.134	-5	13	13.31	HOPS-59	2.2	HOPS-409	19.4	Flat	7.254	1.926	6.902	1.11	0.0	0.0	0.0	HOPS59B	0.075	0.055	0.0
HOPS-59-A	5	35	20.151	-5	13	15.7	HOPS-59	0.2	HOPS-409	18.7	Flat	309.075	6.0	60.705	1.06	0.25	0.16	91.8	HOPS59A	0.005	0.004	1.7
HOPS-409	5	35	21.363	-5	13	17.83	HOPS-409	0.6	HOPS-409	0.6	0	185.41	1.9	39.275	0.36	0.34	0.12	115.8	HOPS409	0.004	0.002	0.4
HOPS-58	5	35	18.523	-5	13	38.34	HOPS-58	0.3	HOPS-409	47.8	Flat	111.075	2.225	36.679	0.52	0.16	0.14	172.4	HOPS58	0.004	0.004	18.0
HOPS-57-A	5	35	19.887	-5	15	8.18	HOPS-57	0.8	HOPS-56	25.3	Flat	131.131	2.619	39.419	0.57	0.23	0.12	43.0	HOPS57A	0.005	0.003	1.2
HOPS-57-B	5	35	19.833	-5	15	9.03	HOPS-57	0.5	HOPS-56	24.3	Flat	10.96	1.169	8.715	0.56	0.06	0.03	74.0	HOPS57B	0.016	0.021	26.8
HOPS-56-A-C	5	35	19.481	-5	15	32.81	HOPS-56	0.3	HOPS-56	0.2	0	2.772	0.263	2.264	0.26	0.0	0.0	0.0	HOPS56AC	0.000	0.000	0.0
HOPS-56-A-B	5	35	19.47	-5	15	32.96	HOPS-56	0.3	HOPS-56	0.3	0	2.325	0.263	1.608	0.26	0.0	0.0	0.0	HOPS56AB	0.000	0.000	0.0
HOPS-56-A-A	5	35	19.482	-5	15	33.08	HOPS-56	0.4	HOPS-56	0.4	0	12.08	0.584	9.509	0.26	0.07	0.05	43.2	HOPS56AA	0.008	0.010	28.8
V2358Ori	5	35	19.811	-5	15	35.2	HOPS-56	5.7	HOPS-56	5.7	NAN	2.718	0.54	2.171	0.35	0.0	0.0	0.0	V2358Ori	0.101	0.052	0.0
HOPS-56-B	5	35	19.42	-5	15	38.29	HOPS-56	5.6	HOPS-56	5.6	0	129.682	3.774	5.207	0.35	0.79	0.39	61.1	HOPS56B	0.000	0.000	1.5
HOPS-53	5	33	57.395	-5	23	29.99	HOPS-53	0.5	HOPS-53	0.5	0	78.129	1.245	60.526	0.57	0.07	0.05	128.7	HOPS53	0.003	0.003	6.1
HOPS-50	5	34	40.914	-5	31	44.71	HOPS-50	0.3	HOPS-50	0.3	0	240.577	4.615	60.465	0.9	0.25	0.13	68.3	HOPS50	0.005	0.003	1.2
HOPS-49	5	34	48.885	-5	31	45.79	HOPS-49	0.2	NAN	NAN	I	13.13	0.724	6.35	0.23	0.17	0.04	27.1	HOPS49	0.011	0.010	2.0
HOPS-47	5	33	45.882	-5	32	58.12	HOPS-47	0.2	NAN	NAN	Flat	6.084	0.789	2.371	0.21	0.21	0.11	158.5	HOPS47	0.031	0.024	10.5
HOPS-45-A	5	35	6.457	-5	33	34.98	HOPS-45	0.1	NAN	NAN	Flat	39.092	0.841	28.289	0.37	0.08	0.04	29.0	HOPS45A	0.003	0.004	2.8
HOPS-45-B	5	35	6.454	-5	33	35.28	HOPS-45	0.2	NAN	NAN	Flat	22.569	0.757	18.584	0.37	0.05	0.04	146.8	HOPS45B	0.009	0.009	45.7
HOPS-44	5	35	10.591	-5	35	6.26	HOPS-44	0.3	HOPS-44	0.3	0	3.479	0.696	1.993	0.22	0.15	0.1	101.5	HOPS44	0.042	0.041	28.4
HOPS-43	5	35	4.503	-5	35	14.78	HOPS-43	0.4	HOPS-43	0.4	I	4.586	0.695	2.425	0.21	0.17	0.1	120.2	HOPS43	0.032	0.028	13.5
HOPS-42	5	35	5.061	-5	35	40.79	HOPS-42	0.3	HOPS-43	27.7	I	48.731	1.507	9.843	0.27	0.4	0.1	106.2	HOPS42	0.013	0.005	0.7
HOPS-41	5	34	29.463	-5	35	42.8	HOPS-41	0.4	NAN	NAN	I	25.979	0.555	23.025	0.29	0.04	0.03	45.5	HOPS41	0.005	0.006	82.0
HOPS-40	5	35	8.44	-5	35	58.57	HOPS-40	1.4	HOPS-40	1.4	0	8.138	0.693	4.814	0.23	0.14	0.07	76.1	HOPS40	0.015	0.013	6.0
HOPS-36	5	34	26.453	-5	37	40.75	HOPS-36	0.4	NAN	NAN	Flat	40.162	0.948	19.848	0.31	0.13	0.07	155.4	HOPS36	0.004	0.003	2.3
HOPS-32-A	5	34	35.454	-5	39	59.33	HOPS-32	0.2	HOPS-32	0.2	0	22.196	0.72	13.756	0.27	0.11	0.06	52.5	HOPS32A	0.005	0.005	4.0
HOPS-32-B	5	34	35.432	-5	39	59.58	HOPS-32	0.6	HOPS-32	0.5	0	13.967	1.012	6.303	0.27	0.15	0.11	68.5	HOPS32B	0.013	0.011	10.9
